t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed,dr_x,dr_y,divergence_m,slope_gap_mps,cusum_stat,predicted_spoofed
1788014289.840171,0.0,0.0,5.855100585653465,4.092603745006,1,4.887574143616247,-16.502316227096763,20.617634104653195,0.1926383269669476,10.464714246285373,1
1788014289.960857,0.0,0.0,5.843506345696749,4.158711295072793,1,4.915076682446744,-16.596347416823143,20.775813913631634,0.22966851483673756,10.52638164500923,1
1788014290.0441897,0.0,0.0,5.938707405383661,4.169051250097497,1,4.933765908105701,-16.66025104797781,20.853530675584803,0.22220488045118447,10.580585409347535,1
1788014290.1433337,0.0,0.0,5.996713484356172,4.224930084859047,1,4.956707353683846,-16.73870099186911,20.98941258522969,0.19395762794180094,10.606541921176456,1
1788014290.2410653,0.0,0.0,6.00070432287398,4.18992487266206,1,4.9786077140075164,-16.813597248865342,21.028376613218324,0.15702687826519124,10.595567683328767,1
1788014290.34077,0.0,0.0,6.244057104196137,4.233218980378651,1,5.001240645637635,-16.891005382694747,21.160752531304922,0.15310066562745528,10.580667232843343,1
1788014290.461171,0.0,0.0,6.14193145845037,4.4308712592820525,1,5.029067302249114,-16.986186356763966,21.445951216003273,0.23571268934246892,10.648378806072932,1
1788014290.538237,0.0,0.0,6.37990144868946,4.3069692594207565,1,5.047348509315013,-17.048723157818927,21.397226361282996,0.1502895096287511,10.630667199588803,1
1788014290.6425068,0.0,0.0,6.267483306252741,4.418509368962751,1,5.070693127258184,-17.128588465788777,21.580308891044442,0.19496998123333964,10.657636064709262,1
1788014290.7430727,0.0,0.0,6.421757898936582,4.3866980793768215,1,5.093912352710431,-17.20803485837795,21.6355185851318,0.15012469565968023,10.639759644256062,1
1788014290.8431563,0.0,0.0,6.372249330608879,4.5093511652814255,1,5.117106005530631,-17.28740156477521,21.83286088312111,0.21013754060059442,10.681896068743777,1
1788014290.960697,0.0,0.0,6.464021699271048,4.492127593284252,1,5.143801501279466,-17.378762407398824,21.91070082843458,0.18313101057452574,10.697025963205423,1
1788014291.039672,0.0,0.0,6.474407748379136,4.46936951286691,1,5.16297537019443,-17.444388049889536,21.952963932048366,0.16508414388475245,10.694108990977295,1
1788014291.140421,0.0,0.0,6.518707466761793,4.559467285656815,1,5.186051223796214,-17.523375994354115,22.123018329139427,0.15131927549766877,10.677427150362083,1
1788014291.2399292,0.0,0.0,6.591132097747488,4.579265663894737,1,5.208932847126942,-17.601706549418477,22.22399610997511,0.15875267532234605,10.66817870957155,1
1788014291.340146,0.0,0.0,6.652356239560808,4.692157035285748,1,5.232102915335186,-17.681032328476306,22.41822298514602,0.18980278319159205,10.689980376650261,1
1788014291.4596765,0.0,0.0,6.695298942079149,4.700244970886659,1,5.259747758162947,-17.775688402771504,22.521731465825713,0.19654379365693964,10.718523054194321,1
1788014291.5433283,0.0,0.0,6.731299359563735,4.711449784413781,1,5.279422471163645,-17.843061693022495,22.601193209316957,0.17524065490642937,10.72576259298787,1
1788014291.6456895,0.0,0.0,6.74287332335016,4.762497462003728,1,5.3038576962966335,-17.92674445485459,22.734829331592195,0.19264272274291194,10.750404199617902,1
1788014291.7405658,0.0,0.0,6.820717758940679,4.883982446736426,1,5.3260970870612985,-18.002915759005948,22.935649117320022,0.20144544377923934,10.783848527284261,1
1788014291.8403623,0.0,0.0,6.9532989546843815,4.832960922973906,1,5.349254001296512,-18.08223667847239,22.971269911039297,0.15278632031945405,10.768633731490835,1
1788014291.9628987,0.0,0.0,6.89670392484567,4.800218423893936,1,5.378301254389617,-18.18174575239266,23.032069469975305,0.12270357914962382,10.72333619452758,1
1788014292.0402112,0.0,0.0,7.0324123334401865,4.8955832251892,1,5.396555394632886,-18.24428579692861,23.197619840945137,0.17577132051009625,10.731106398924796,1
1788014292.140396,0.0,0.0,7.046102363916954,4.829694689339372,1,5.420620931370896,-18.32674350509956,23.213418958447768,0.13127440830666048,10.694379691118577,1
1788014292.242875,0.0,0.0,7.118834637903844,4.974912722838738,1,5.444489075243205,-18.40853256397847,23.44331347196414,0.17939713233917454,10.705775707344872,1
1788014292.342584,0.0,0.0,7.065947177829,4.962929834929312,1,5.468449229330822,-18.490644318679266,23.50791654473599,0.14253049608861956,10.680305087320612,1
1788014292.4574487,0.0,0.0,7.191109626587903,5.028659669824771,1,5.495753974707609,-18.58422684646776,23.673669770816527,0.11870486307091965,10.631008834278651,1
1788014292.5425816,0.0,0.0,7.205157249703955,5.050160030163117,1,5.51620192528271,-18.654315354355777,23.764568654683238,0.15291938834357666,10.615927106509348,1
1788014292.642109,0.0,0.0,7.2560837638406275,5.097214497911353,1,5.540290428367202,-18.736889310379706,23.895783124108934,0.1599999182467664,10.607925908643235,1
1788014292.7426991,0.0,0.0,7.391696446450058,4.995871161320445,1,5.564218883893937,-18.818923044747013,23.88480892364413,0.09229174136244422,10.5322165338928,1
1788014292.8427052,0.0,0.0,7.355431457056637,5.16744639111634,1,5.588461846803171,-18.9020428914878,24.13425979658284,0.15667449911658582,10.520889916896506,1
1788014292.955057,0.0,0.0,7.437293522961848,5.178690398447887,1,5.615523084157418,-18.994836569781803,24.24207609953054,0.1378172071209045,10.49070600790453,1
1788014293.040651,0.0,0.0,7.3767265215157884,5.243142783593986,1,5.636564731858926,-19.06699644844608,24.372341548061303,0.1562494368505718,10.47895432864222,1
1788014293.1413193,0.0,0.0,7.600407654466594,5.184694480824185,1,5.660823774640117,-19.15019864800292,24.41206687722937,0.12145437227271927,10.43240758480206,1
1788014293.242905,0.0,0.0,7.607159988664224,5.2799215629284255,1,5.685194649445119,-19.23379292997925,24.588943633368054,0.16078779896027617,10.425194267649458,1
1788014293.339113,0.0,0.0,7.608187805576296,5.276812516505771,1,5.709414593694377,-19.316878284204734,24.666879958987778,0.14212106515374456,10.399314216690323,1
1788014293.458067,0.0,0.0,7.6529960337248895,5.435397179092343,1,5.737351425862707,-19.41272431270713,24.92185458457814,0.1263823457926747,10.357695446370117,1
1788014293.542332,0.0,0.0,7.740267109536957,5.486009978494096,1,5.758488773238151,-19.485249481539668,25.049775336209084,0.18034811462570022,10.370042444882937,1
1788014293.6433864,0.0,0.0,7.819672307641732,5.45612619607494,1,5.782626901553051,-19.56807794368997,25.106978050237235,0.13464740278925702,10.336688731559315,1
1788014293.7436926,0.0,0.0,7.897298092408567,5.490641508662211,1,5.8074602098264965,-19.65330079275769,25.230641229120756,0.15448063640116105,10.323168251847596,1
1788014293.8435192,0.0,0.0,7.900564660399921,5.4882182055014335,1,5.831858321742335,-19.73703796090332,25.30994062767321,0.11791712316141689,10.273084258896134,1
1788014293.9543982,0.0,0.0,7.916988570735858,5.506334091889304,1,5.859361579442795,-19.831443141661165,25.421187697909122,0.12909551789318696,10.234178660676442,1
